,deaths_mean,deaths_median,deaths_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-03-06,0.12731892609695206,0.09257160499691963,0.11578921457507385,0.012255622446537018,0.3660500779747962,0.007860073435585946,0.4427464179694649,estimate
2020-03-07,0.10949867562728469,0.08340318128466606,0.09040898510252884,0.017244665417820215,0.29330731481313704,0.012014715187251567,0.3552699707448481,estimate
2020-03-08,0.09713803729577922,0.0769256092607975,0.07176430045590224,0.020716023538261654,0.24095241501927372,0.014613718795590102,0.2878104239702225,estimate
2020-03-09,0.08992605433589779,0.07497302815318108,0.058471287194863095,0.02342019258067012,0.20584829971194268,0.017710886104032396,0.24186437129974356,estimate
2020-03-10,0.08770489442627877,0.07603584229946136,0.049649610992054255,0.027291755005717278,0.1869535535573959,0.022121568443253636,0.2145434472709891,estimate
2020-03-11,0.09063947700196877,0.08176296204328537,0.04470756502940972,0.032914105057716365,0.17997667416930194,0.027322536800056696,0.20448037423193444,estimate
2020-03-12,0.09930263680638746,0.09191489219665527,0.04318801698252589,0.04126270953565836,0.18396103680133818,0.03492062762379646,0.20589383766055103,estimate
2020-03-13,0.11478096990007908,0.10887740179896355,0.044698457204955515,0.05349097289144993,0.2001002788543701,0.04761152453720569,0.22645234800875153,estimate
2020-03-14,0.13869829058274627,0.13294679671525955,0.048944266330096194,0.07146234773099422,0.23095034435391426,0.06327109206467867,0.25387152060866336,estimate
2020-03-15,0.17308789901062846,0.16637935489416122,0.05586096100814339,0.09395020827651024,0.277187192440033,0.08576752971857786,0.3043162077665326,estimate
2020-03-16,0.22033637510985135,0.21370812505483627,0.06565903626311649,0.12772070318460463,0.3428858011960983,0.11530339028686286,0.3745989583432672,estimate
2020-03-17,0.28329748261347415,0.2743738889694214,0.07863441520210274,0.17097703069448472,0.4278495922684669,0.15650127045810225,0.46178269162774077,estimate
2020-03-18,0.36519089540094135,0.35597385466098785,0.09499298046242526,0.22791514694690707,0.5389882296323776,0.2077578630298376,0.5778622701764107,estimate
2020-03-19,0.4694262006506324,0.45564521849155426,0.11480628599200517,0.30119525194168095,0.6777715384960175,0.281136991083622,0.728630684316158,estimate
2020-03-20,0.5993110278248787,0.5864800810813904,0.13813292855958612,0.39551303088665013,0.8472377210855484,0.36738806813955305,0.9022664025425905,estimate
2020-03-21,0.757578490614891,0.7424109876155853,0.16483946015819645,0.5159963518381119,1.0476566195487975,0.47767436727881435,1.1177225977182383,estimate
2020-03-22,0.9466750705838204,0.9299847483634949,0.19448628972582424,0.6599526673555375,1.2829016149044037,0.6113254457712173,1.3748510807752607,estimate
2020-03-23,1.1684753863215447,1.153573751449585,0.22644263051378571,0.8253095924854279,1.5494462311267851,0.7691656649112701,1.6385086387395855,estimate
2020-03-24,1.4233654552996158,1.4075389504432678,0.25982833925246607,1.0203838407993318,1.8710877418518066,0.9537459596991539,1.9772979229688636,estimate
2020-03-25,1.7097541420459748,1.6951638460159302,0.2935116956921826,1.2445223629474642,2.220843327045441,1.1820789754390717,2.3191239058971402,estimate
2020-03-26,2.0239116204977035,2.0124778747558594,0.3260774743434427,1.5105998158454896,2.5821761965751646,1.4220877200365067,2.698213744163513,estimate
2020-03-27,2.3590934180617333,2.34581983089447,0.35617761593842107,1.7906661331653595,2.9475889205932617,1.701911199092865,3.0935719609260555,estimate
2020-03-28,2.704653739333153,2.695434808731079,0.3830101091623916,2.1019658923149107,3.344203960895538,2.0001597940921783,3.4771234214305875,estimate
2020-03-29,3.046249138057232,3.0350801944732666,0.40606566569337427,2.395701026916504,3.739111232757568,2.3060611069202426,3.87055013179779,estimate
2020-03-30,3.36726497232914,3.3435869216918945,0.4257196711870195,2.688206195831299,4.089595460891724,2.6049657583236696,4.263427615165709,estimate
2020-03-31,3.6517786217927934,3.6241466999053955,0.4429397388809559,2.942537319660187,4.401829028129577,2.858329063653946,4.588043105602263,estimate
2020-04-01,3.8869609664678575,3.8701770305633545,0.45781947244026117,3.1565566301345824,4.660766053199768,3.0732000708580016,4.84216034412384,estimate
2020-04-02,4.064191496133804,4.042266130447388,0.4694832183244375,3.329287815093994,4.8637396574020375,3.2325836777687074,5.0375919938087454,estimate
2020-04-03,4.179518028974533,4.155457973480225,0.4768399595385798,3.4380857944488525,4.991560578346252,3.320738083124161,5.17778285741806,estimate
2020-04-04,4.2337661969661715,4.211680889129639,0.47927081850257314,3.47540123462677,5.074044275283813,3.3772796630859374,5.225323617458343,estimate
2020-04-05,4.231622339487076,4.2046520709991455,0.47693441314591023,3.4706363677978516,5.047300457954407,3.3863705217838285,5.2317390680313105,estimate
2020-04-06,4.1802977720499035,4.156314373016357,0.470482208072168,3.442232441902161,4.998434758186341,3.3349110901355745,5.173677527904511,estimate
2020-04-07,4.088431743621826,4.072643041610718,0.46088590089992715,3.362355041503906,4.883094954490661,3.2593996047973635,5.040229022502898,estimate
2020-04-08,3.9651516522169112,3.9513744115829468,0.4494872660512286,3.2471787571907047,4.7351555109024055,3.143198847770691,4.886077904701232,estimate
2020-04-09,3.8195257983207704,3.797764301300049,0.4375531584737183,3.1311668753623962,4.571906042098999,3.0300467371940614,4.720159256458282,estimate
2020-04-10,3.6601513978242872,3.6438909769058228,0.4260083889895246,2.983083641529083,4.391396975517273,2.887461590766907,4.549492740631104,estimate
2020-04-11,3.494939274311066,3.4793543815612793,0.4153484611530444,2.8532605290412905,4.194143557548522,2.7537900805473328,4.376162815093994,estimate
2020-04-12,3.3310309678316115,3.314341425895691,0.4056891973132639,2.716683292388916,4.032085680961608,2.6193781077861784,4.215786981582641,estimate
