,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-03-06,1.1492953170873226,0.8934362828731537,0.8682403492239505,0.288520148396492,2.87800897359848,0.23888706602156162,3.3648635387420565,estimate
2020-03-07,1.374039563409984,1.1791656613349915,0.8134989213993324,0.4655109092593193,2.925343263149261,0.37903631255030634,3.3916487634181944,estimate
2020-03-08,1.610674302458763,1.423233985900879,0.8383118009155404,0.6280128091573716,3.1834341526031493,0.5276624903082847,3.7107006549835178,estimate
2020-03-09,1.92499516479671,1.7223163843154907,0.8996232631190131,0.8442872047424317,3.5684906959533693,0.7417377278208732,4.104981815814968,estimate
2020-03-10,2.3752619414031506,2.1881861686706543,1.0050534998744862,1.12714324593544,4.215696716308594,1.0066882461309432,4.671895802021025,estimate
2020-03-11,2.9750234890282155,2.7587504386901855,1.153896759339927,1.4835818648338317,5.107740950584411,1.3416820883750915,5.81397533416748,estimate
2020-03-12,3.80049098521471,3.5392571687698364,1.4235313045898927,1.9903571963310243,6.342504429817199,1.8084710389375687,7.1487785100936865,estimate
2020-03-13,4.991797921836376,4.691802263259888,1.7351486786741082,2.7919364213943485,7.9399594306945795,2.4683540642261503,8.90537734031677,estimate
2020-03-14,6.260512465894222,5.978974342346191,2.1272509589440958,3.49721999168396,9.911919689178465,3.1816137552261354,10.789344072341919,estimate
2020-03-15,7.499980771541596,7.098416566848755,2.525690100046732,4.217605710029602,11.923815822601316,3.7267406404018404,13.078898358345025,estimate
2020-03-16,9.001224667787552,8.603623390197754,3.042413878659137,5.003678989410401,14.393031311035154,4.496147656440735,16.022671556472776,estimate
2020-03-17,10.806451442003251,10.349628448486328,3.616965505404814,6.120909357070923,17.622752857208248,5.458117735385894,19.39599733352661,estimate
2020-03-18,13.05333788228035,12.454649925231934,4.120911061704506,7.611461186408996,20.409378910064696,6.789033889770508,22.438935899734492,estimate
2020-03-19,15.647845995426177,14.924406051635742,4.686826980348553,9.380285549163819,24.015196704864497,8.585882878303527,26.495979595184323,estimate
2020-03-20,17.985293550491335,17.292573928833008,5.634354929705274,10.592245531082153,28.43228540420532,9.71893675327301,31.845398759841917,estimate
2020-03-21,20.954020227670668,19.8275089263916,6.670865054145298,12.184057903289794,33.357443237304686,10.906431651115419,37.729253578186,estimate
2020-03-22,24.9970515294075,23.81447124481201,7.664933839900614,14.915031290054323,38.72772426605225,13.497971057891846,42.629778385162304,estimate
2020-03-23,29.069074665546417,27.790008544921875,8.893825897406,16.908145236968995,45.68868370056152,15.511309933662416,49.633961963653555,estimate
2020-03-24,32.44741974639893,31.143576622009277,10.015046310836352,18.899814033508303,51.804833984374994,17.08537769317627,56.00368795394896,estimate
2020-03-25,36.31218250989914,34.47810935974121,11.415446151244591,21.415105533599853,57.84158115386963,19.212526655197145,62.69369163513183,estimate
2020-03-26,42.01710717821121,39.83279800415039,12.757537578535697,25.19017610549927,66.34642219543457,22.968187952041628,71.79206256866452,estimate
2020-03-27,47.30397758054733,45.69208908081055,13.92579793762923,28.580456447601318,72.85057563781737,26.246818780899048,79.67495193481446,estimate
2020-03-28,52.45358815193176,50.101980209350586,15.487278828731748,31.70213022232056,80.69353103637695,29.86451530456543,88.72801303863524,estimate
2020-03-29,57.58608289718628,55.01767539978027,16.67013260356737,34.679967689514164,87.87044067382811,32.48984842300415,95.71295738220213,estimate
2020-03-30,61.51810625553131,59.31017875671387,16.91239955231919,37.935999107360836,92.31647987365722,35.60195283889771,99.76367187499991,estimate
2020-03-31,65.68743428516387,63.82667922973633,17.288183061463315,41.30340099334717,95.83037757873534,38.13667802810669,104.71420879364014,estimate
2020-04-01,67.64641104125977,65.10170364379883,17.54234636467284,42.636399841308595,98.59216690063477,39.61238946914673,105.4651271820068,estimate
2020-04-02,67.89611685943603,65.78259658813477,17.48767171262542,43.10793533325195,99.20446090698242,40.30526857376098,108.6026584625244,estimate
2020-04-03,68.48531944561005,66.14115524291992,17.489602126260255,43.815336799621576,100.33858680725098,40.77884006500244,109.66657238006592,estimate
2020-04-04,67.02825398731231,64.86627960205078,17.351774566921087,43.071251487731935,98.60509033203125,40.06852989196778,105.95413246154781,estimate
