date,mean,median,std,low_50,high_50,low_80,high_80,low_95,high_95,type
2020-06-20,883.0169356079101,872.654296875,155.2293109369358,772.9467010498047,981.4373321533203,689.5994812011719,1083.76220703125,611.4432891845703,1208.6880126953124,estimate
2020-06-21,935.1291716918945,922.5308532714844,163.25849909893708,815.4794311523438,1044.5970764160156,732.1169189453125,1148.9313232421875,651.1877243041992,1273.147412109375,estimate
2020-06-22,979.944841720581,970.94775390625,171.46285358875375,853.5194091796875,1092.9015808105469,765.9941101074219,1202.2392456054688,683.8830001831054,1342.95595703125,estimate
2020-06-23,1019.0225775146484,1003.8257141113281,180.11815524753806,891.9884796142578,1128.6874694824219,799.9620910644531,1249.7991088867188,715.3916946411133,1409.166519165039,estimate
2020-06-24,1052.7908316345215,1035.4968872070312,190.29977397687807,921.5327911376953,1164.9254760742188,825.7090393066406,1304.2829223632814,726.0390869140625,1462.538345336914,estimate
2020-06-25,1085.5106434631348,1067.4857177734375,188.98444332832682,954.4009552001953,1203.7710571289062,850.8553833007812,1343.6362548828126,756.5284606933593,1486.942022705078,estimate
2020-06-26,1106.544481201172,1094.8395385742188,187.3364867561506,974.8671112060547,1222.2452087402344,875.937548828125,1356.9432983398438,779.174464416504,1515.8923065185547,estimate
2020-06-27,1114.2626100769044,1106.8555297851562,187.9963404168037,983.1318969726562,1233.1735534667969,874.6468383789062,1359.7643676757814,782.7206405639648,1520.8330291748046,estimate
2020-06-28,1124.9703067321777,1113.9788208007812,198.0276043545221,983.4549713134766,1244.294921875,879.4505004882812,1387.5864868164065,789.3730499267579,1561.6810974121086,estimate
2020-06-29,1129.953963470459,1111.3950805664062,201.51679173293758,992.2643432617188,1248.4971008300781,893.4257690429688,1398.6068603515625,785.2814025878906,1561.017041015625,estimate
2020-06-30,1152.4957230529785,1135.3450317382812,211.31922920154688,1011.7725067138672,1280.7152099609375,891.034375,1423.7622558593753,784.0701095581055,1618.4204895019532,estimate
2020-07-01,1187.2022818908692,1168.9551391601562,219.12355477823112,1034.5377807617188,1317.7945251464844,915.6485229492188,1473.4540405273438,807.7796447753906,1661.7866394042965,estimate
2020-07-02,1234.6626028747557,1217.755615234375,226.0884769472487,1073.0060729980469,1381.8100891113281,953.5965026855469,1523.0325317382817,852.6445388793945,1742.4198608398438,estimate
2020-07-03,1302.1478753356935,1283.1099243164062,238.35410614660987,1135.9183044433594,1453.9226989746094,1002.3866455078125,1625.8900878906252,888.4962692260742,1820.0188995361327,estimate
2020-07-04,1378.195906677246,1355.5653076171875,254.2934838847743,1195.5039672851562,1539.4984130859375,1072.7914306640625,1711.5542602539062,936.6225723266601,1920.5705261230466,estimate
2020-07-05,1454.2878713989257,1436.7107543945312,267.2132327111063,1260.2048645019531,1630.744384765625,1126.6434570312501,1801.6599731445312,981.8934463500976,1999.7591674804685,estimate
2020-07-06,1554.188768157959,1531.93798828125,286.8133962171451,1356.3607482910156,1737.37353515625,1206.9156982421875,1934.5988647460938,1026.9438446044921,2164.606127929688,estimate
2020-07-07,1667.9543646850586,1648.728515625,302.5663127357185,1465.5943298339844,1853.7216491699219,1291.321044921875,2083.1211669921877,1101.0185424804688,2301.571166992187,estimate
2020-07-08,1793.1524319152832,1770.039306640625,321.06506705833687,1567.9424133300781,1995.4896545410156,1399.62509765625,2201.300634765625,1236.6944854736328,2458.7489624023433,estimate
2020-07-09,1918.1615914611816,1898.9590454101562,348.6459365106109,1673.4253540039062,2134.63671875,1474.674938964844,2357.0857421875003,1317.1558197021484,2689.95849609375,estimate
