date,mean,median,std,low_975,high_975,low_90,high_90,low_75,high_75,type
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,estimate
2020-03-07,0.11188849283388118,0.07918192818760872,0.10989718817989264,0.0074728589039295915,0.4122851565480232,0.01719120889902115,0.25487124621868146,0.03563257306814194,0.14824599400162697,estimate
2020-03-08,0.10082267629960552,0.07487183436751366,0.08870000699329424,0.011860613757744432,0.3425908237695691,0.023124754056334493,0.2180506810545922,0.03935417719185352,0.13001490011811256,estimate
2020-03-09,0.09311014928552322,0.0726662129163742,0.07242040036644017,0.016859382390975952,0.28109263032674775,0.027530153281986713,0.18708191514015202,0.04374721925705671,0.1176485288888216,estimate
2020-03-10,0.08907909496128559,0.07320904359221458,0.060030906136950495,0.021883395873010157,0.24940038360655278,0.03234740346670151,0.1663753896951676,0.047955541871488094,0.11083262227475643,estimate
2020-03-11,0.0890466083935462,0.07700861990451813,0.05095757196973869,0.027544662356376648,0.2208629805594681,0.03942612744867802,0.1535746395587922,0.05387744680047035,0.1101670190691948,estimate
2020-03-12,0.09352035915479064,0.08435595780611038,0.04493096524854311,0.03453713208436966,0.20965248048305507,0.04800928048789501,0.1507474392652512,0.06203640345484018,0.11415445618331432,estimate
2020-03-13,0.10330497032869607,0.09602593630552292,0.04193173402535558,0.04397016735747457,0.19839888028800462,0.05831243023276329,0.15602060407400137,0.07327969186007977,0.12503382191061974,estimate
2020-03-14,0.11956999000813812,0.1135501116514206,0.04208288716860903,0.05735915321856737,0.21516417264938326,0.07270854488015174,0.17422107905149464,0.08935428597033024,0.14283275976777077,estimate
2020-03-15,0.14385168958455324,0.13831210136413574,0.0455025799485488,0.07413225825875998,0.24749102964997288,0.09202022850513458,0.20194923877716064,0.11081826128065586,0.17139800637960434,estimate
2020-03-16,0.17807597362995148,0.17128774523735046,0.05222915070431912,0.09626894313842058,0.29107847884297366,0.11733082532882691,0.2468349203467369,0.14056098833680153,0.20987629145383835,estimate
2020-03-17,0.22452979115396737,0.21605080366134644,0.062299343259346725,0.12656842544674873,0.3672015890479087,0.1539333790540695,0.3074120968580246,0.17944016307592392,0.2618996873497963,estimate
2020-03-18,0.28587083249166606,0.2754729837179184,0.07577026452467876,0.16836953945457933,0.46392913088202464,0.1984555348753929,0.3876744389533997,0.23168355226516724,0.33007313311100006,estimate
2020-03-19,0.36507870595902203,0.35141605138778687,0.09261129612544626,0.21701289378106595,0.5792719513177871,0.25907464027404786,0.49120239913463615,0.2986413538455963,0.4182708039879799,estimate
2020-03-20,0.46532596119493247,0.4496197998523712,0.11268760410949775,0.2834398716688156,0.7197526127099988,0.3352394878864289,0.622754728794098,0.3845807760953903,0.5317587703466415,estimate
2020-03-21,0.5898990571647883,0.5731420814990997,0.1356841580294839,0.3728221714496613,0.8969931975007055,0.43242916762828826,0.7753227770328522,0.4918743297457695,0.6685420870780945,estimate
2020-03-22,0.7421358364224434,0.7224715948104858,0.1614089243416754,0.4769894674420357,1.097137740254402,0.5525523543357849,0.9575980007648468,0.6259604543447495,0.8377274572849274,estimate
2020-03-23,0.9250298067629338,0.9076021015644073,0.18989981518327273,0.6070121124386788,1.3463977426290505,0.6959376096725464,1.1751418471336363,0.7911635190248489,1.041125774383545,estimate
2020-03-24,1.1408821348547935,1.1212319731712341,0.22091806370105554,0.7607983335852624,1.613912066817282,0.8640098631381989,1.437725007534027,0.9873447418212891,1.276400238275528,estimate
2020-03-25,1.3906766965985298,1.3642383217811584,0.2535670918570406,0.9481378018856049,1.9357983469963072,1.0732205271720887,1.7278328895568849,1.2144856452941895,1.553051382303238,estimate
2020-03-26,1.6730089869499207,1.650722861289978,0.2864320022885762,1.1707230746746065,2.2922714591026305,1.3131860971450806,2.0556046962738037,1.4770143926143646,1.857313483953476,estimate
2020-03-27,1.983479957163334,1.966392457485199,0.31772865792893146,1.4347193866968155,2.6655609130859372,1.5796357035636903,2.4010762691497805,1.7674029767513275,2.1832318902015686,estimate
2020-03-28,2.314311194837093,2.3018574714660645,0.34602557831010794,1.7080047994852066,3.056833869218826,1.8797756791114808,2.773010802268982,2.069144368171692,2.521592915058136,estimate
2020-03-29,2.6538744621276855,2.6342581510543823,0.37056343209954024,2.0107601165771483,3.4544621109962454,2.1963810205459597,3.1378162860870358,2.391265392303467,2.8736648559570312,estimate
2020-03-30,2.9877069268226624,2.968319535255432,0.3910168601082023,2.2944502949714662,3.8587513446807864,2.503831672668457,3.4881792068481445,2.7166975140571594,3.2318134903907776,estimate
2020-03-31,3.3006398229599,3.2789770364761353,0.40771275060056344,2.5790768504142765,4.162108767032623,2.7952008485794066,3.8294981479644776,3.022584319114685,3.5579680800437927,estimate
2020-04-01,3.578357988119125,3.5533398389816284,0.42122997797393524,2.832166928052902,4.458976495265959,3.0530037164688113,4.1247350692749025,3.291461169719696,3.8454712629318237,estimate
2020-04-02,3.8092359994649887,3.7844897508621216,0.43156800164683395,3.0424129903316497,4.679567110538482,3.2659801959991457,4.371232748031616,3.5098339319229126,4.094041585922241,estimate
2020-04-03,3.985626879453659,3.961122989654541,0.43847934644940056,3.2072709918022158,4.907190144062042,3.435145854949951,4.571954202651978,3.6794121861457825,4.268205046653748,estimate
2020-04-04,4.104249339342117,4.083370685577393,0.4417693768609512,3.322979599237442,5.054147446155548,3.5479151487350467,4.688652801513673,3.7944462299346924,4.384333610534668,estimate
2020-04-05,4.166111558437348,4.1550867557525635,0.441469315948552,3.3800372660160063,5.124576103687286,3.620265245437622,4.756327342987061,3.848153591156006,4.446357607841492,estimate
