date,mean,median,std,low_975,high_975,low_90,high_90,low_75,high_75,type
2020-06-24,2.6742806472896032,2.6385864792122575,0.24458914889683867,2.446654138522857,3.1410252257443325,2.516564200156777,2.8019090954984125,2.575248009209579,2.7161865712298194,estimate
2020-06-25,2.7065794879310685,2.6703978109403357,0.24094874936143898,2.4823674769256305,3.1593712882959837,2.5496626532031903,2.8299947427266954,2.6084161354897484,2.7445692464546405,estimate
2020-06-26,2.7818932792669053,2.7460421630629916,0.23510358876530996,2.5715550222361516,3.2107442971541404,2.629526514149106,2.899606859611001,2.6860162275073103,2.816002646116078,estimate
2020-06-27,2.934911468748028,2.9004356043914674,0.22649914688126455,2.7356608512333445,3.385044114769172,2.7916316823506824,3.0459353185478584,2.841133903765618,2.967132446494929,estimate
2020-06-28,3.1873199114978803,3.1564175098859595,0.21444665281888262,3.007520308830887,3.6196720908705204,3.057166154894355,3.291233994866427,3.100339724243119,3.2101178492190545,estimate
2020-06-29,3.5268913216935016,3.5004566041485887,0.20052381291030288,3.3659973472833,3.884153214130172,3.4055421023739387,3.6211917618857337,3.4480916684624843,3.5459336683923217,estimate
2020-06-30,3.901939120180255,3.882877093848746,0.18557247503749028,3.758921076972177,4.253107823485184,3.7919999726196414,3.982118670140876,3.8247243904111543,3.922719182520281,estimate
2020-07-01,4.261725220907953,4.246656937675581,0.17250657396454336,4.116952573429783,4.423177436824407,4.153377923388045,4.3413330836505395,4.197607592280058,4.2902882723934965,estimate
2020-07-02,4.577988856438546,4.558255196431459,0.1647631971007857,4.420651782100752,4.733334254160868,4.471623253111735,4.663604792882868,4.518718692118503,4.6136515289546685,estimate
2020-07-03,4.860864426439959,4.847649695692984,0.16520884054686935,4.675491718847233,5.0506215769204115,4.741422460963737,4.961153505168714,4.799960200693139,4.902602930896253,estimate
2020-07-04,5.113188283439349,5.107121374562449,0.17520901072943773,4.902131414230966,5.347894346530462,4.969178150425001,5.236614580016469,5.045457506844784,5.167440671102366,estimate
2020-07-05,5.322070716213543,5.328107759312469,0.1920698083901341,5.068848155987858,5.585227049789593,5.161431049106551,5.452894965644373,5.250950764614847,5.389102397284846,estimate
2020-07-06,5.488300621342641,5.4976826315751515,0.21133052808259684,5.195480786261221,5.779238892039125,5.298869447883626,5.643210459492532,5.405111961830803,5.576993996000757,estimate
2020-07-07,5.639689638746726,5.642456277295558,0.23227134648756384,5.290774212640509,5.968556958540881,5.404492847920321,5.817146631720854,5.537854751353953,5.738538111319981,estimate
2020-07-08,5.807394701436135,5.8120983781171285,0.25586542527370604,5.407075035750314,6.176222309931724,5.541719782321261,6.02919650748859,5.675285204937706,5.920033829410833,estimate
