date,S,E,A,I,Id,deaths,R,population
2020-05-12,99.95022480915632,0.021145528735303752,0.005980802908963446,0.006048670872610371,0.0005073993074521505,3.8879576124001335e-05,0.08345759266801063,100.0
2020-05-13,99.95755828171167,0.01802047714106624,0.005078318811208961,0.005151706521583516,0.0004737644762694057,3.811223946917621e-05,0.0711659852384628,100.0
2020-05-14,99.9601682348096,0.016921361734532032,0.004790784386868026,0.004813303741151765,0.0004548360560168209,4.09909961406823e-05,0.06681205110896599,100.0
2020-05-15,99.96126551530133,0.016450983203270056,0.0046788766051555925,0.0046828023788235175,0.00044699989727651693,3.964646462125516e-05,0.06499414678319283,100.0
2020-05-16,99.9616506062502,0.016267134853578835,0.004631878015773415,0.004636305925474911,0.00043644245922054575,3.474531539570427e-05,0.06432115500384288,100.0
2020-05-17,99.95538980882345,0.018899502993125424,0.0053723493961029805,0.0053832801672591265,0.00044737990564777295,3.58002163752632e-05,0.0747127036386782,100.0
2020-05-18,99.93252953216737,0.028490609135824328,0.0081024720338266,0.008123396265122498,0.0005378133507499045,5.0222692118150736e-05,0.11272475861815194,100.0
2020-05-19,99.9141932865787,0.03618809464081929,0.010302066759406425,0.010332933798371247,0.0006045415166503027,5.641618307950001e-05,0.1432343501365596,100.0
2020-05-20,99.88370672323968,0.0490230419323255,0.013934845992451022,0.013974680226294632,0.0007160504589009146,6.742461427515178e-05,0.19394189537028508,100.0
2020-05-21,99.8635004902761,0.05748728584565853,0.01638026826554736,0.016413760217296996,0.0007879484700411552,7.366456296585135e-05,0.2275687725224403,100.0
2020-05-22,99.8343557586112,0.0697483754018129,0.019858579068955984,0.019894509151920568,0.0008979951997500067,8.466386844909656e-05,0.27604370021124147,100.0
2020-05-23,99.8169187582569,0.07712403767276414,0.021943489542877673,0.021984516631420974,0.0009649246023281592,8.837533794921137e-05,0.3050982101924935,100.0
2020-05-24,99.80996449564256,0.08002422912122317,0.022801527304452448,0.022830098903680977,0.0010064680485704484,9.236629219048611e-05,0.3166978277353564,100.0
2020-05-25,99.79294220954053,0.0872262613040006,0.02482323884962999,0.024852531546170314,0.00109525662579105,9.904132671059512e-05,0.34505507878506353,100.0
2020-05-26,99.78964859803202,0.08860841285838743,0.02523461503368653,0.025266975378294795,0.0011259144687005235,0.00010265636229236728,0.35058731970706114,100.0
2020-05-27,99.75336187881389,0.10386105676893208,0.029592861875717396,0.02961436707341763,0.0013063482230546094,0.000118063315238007,0.41101275512724,100.0
2020-05-28,99.71352191562588,0.1206208850179157,0.03434915651905604,0.034384191644735,0.0014916963145250014,0.0001332372636432483,0.47732401387036527,100.0
2020-05-29,99.68639544303781,0.13208829631605626,0.037614034740450344,0.0376861442130924,0.0016166646810006839,0.00014068323559235992,0.5226096969127858,100.0
2020-05-30,99.68807551220462,0.13160631674818377,0.03752750430746309,0.037501119321222125,0.001644297579134904,0.00014496982014484383,0.5202037257513802,100.0
2020-05-31,99.70317369202772,0.12554804412397466,0.035786265973558724,0.03568722600033113,0.0016105888220519459,0.0001430005563377403,0.49545843289218844,100.0
2020-06-01,99.72448258669387,0.11681067226886248,0.03322951545174057,0.03314081424000838,0.0015712425887468079,0.0001369756421397191,0.4602696578554933,100.0
2020-06-02,99.74826147903217,0.10701038525761572,0.030387246458643758,0.030328301694377734,0.0015025558443666491,0.00013369164433466187,0.420967010222838,100.0
2020-06-03,99.79816504113893,0.08617829375228167,0.02448751741430658,0.0244415220522348,0.0013214192133785055,0.0001210563901931852,0.3382637112932704,100.0
2020-06-04,99.80462987034866,0.08370181431846249,0.023686762666418892,0.02373487843487561,0.001293422223460647,0.00012492681183563109,0.32778700729455557,100.0
2020-06-05,99.82585049596403,0.07507192514743685,0.02119027448824191,0.021296896571305252,0.0012082604237521396,0.00011196044812016706,0.2929168606667025,100.0
2020-06-06,99.83025426712453,0.07314285520653664,0.02069473320285964,0.020886982702914714,0.0011919554418594477,0.00011205549941367675,0.285662259429641,100.0
2020-06-07,99.86031132287475,0.0607875531614624,0.01716251133299207,0.01720299952065347,0.0010748055898049146,0.00010242581916838232,0.23591654673015752,100.0
2020-06-08,99.87601465791477,0.054204990304641626,0.01534572610946802,0.01534849738767639,0.001006510649977927,9.650959118818256e-05,0.20989106653699044,100.0
2020-06-09,99.85463971637259,0.06350077948565562,0.017947541831976197,0.017988238526207075,0.0010701931926943799,0.00010556180607877575,0.2458670366639523,100.0
2020-06-10,99.8124661547407,0.08135105774201946,0.023110378512867416,0.023187024173172692,0.001202037914113076,0.00011576178702545851,0.3163843436014677,100.0
2020-06-11,99.75084508212284,0.10709629362769704,0.03047530681303828,0.030531010892071494,0.0014153969311297878,0.00013745670627632347,0.4186729261410915,100.0
2020-06-12,99.69709721556637,0.12987548009816072,0.036936133965351524,0.03700547805544358,0.0016354267351686934,0.00015323066753475376,0.5083553032877547,100.0
2020-06-13,99.63809984286326,0.1546491305257285,0.044008430980309377,0.04407888497160409,0.001885300440344336,0.00017843786521536397,0.6065219040547302,100.0
2020-06-14,99.59578691389511,0.17242098046418378,0.049060894980628995,0.04916150083767286,0.0020865445953571217,0.00019523251965662897,0.6769430069827254,100.0
2020-06-15,99.55157149652429,0.19087730342766734,0.05435419994525842,0.05445989357348343,0.0023053443411938587,0.00020666558562683097,0.7504252447633243,100.0
2020-06-16,99.51110864055627,0.2081388665131229,0.05924698574680961,0.05933551446386325,0.0025008083238072867,0.00022534039691992134,0.8181135344913352,100.0
2020-06-17,99.47550713833253,0.22344320202896123,0.06362950725442519,0.06364320901398816,0.0026730671705023352,0.0002441466068050347,0.877881847135348,100.0
2020-06-18,99.4340697315668,0.24111123310282118,0.06872331046805236,0.06868281522356039,0.0028543559586318157,0.0002675563643802964,0.9473019831862677,100.0
2020-06-19,99.36048475472751,0.27207585491719194,0.07753394498289247,0.07751880113723235,0.0031783096243531107,0.0002834288601366072,1.0698221559341592,100.0
2020-06-20,99.30051150153284,0.29756736098693953,0.08486590321093894,0.08481574275307252,0.0034348749158282323,0.00030963134086530895,1.1701723803339443,100.0
2020-06-21,99.2621191664891,0.3141173833794358,0.08965020707889655,0.08969656772735331,0.003618813949380341,0.00031920227027113,1.2349638056459702,100.0
2020-06-22,99.25958176526247,0.31582246660531893,0.09012934565681482,0.09029355010328183,0.003646439827048157,0.0003323442123763113,1.2403100369300073,100.0
2020-06-23,99.26872212302247,0.3126473022557157,0.08917610723468548,0.08949275854256741,0.0036214785444916046,0.00032666235374065366,1.2262155235549974,100.0
2020-06-24,99.24548250231258,0.3221928302427183,0.09170183827981589,0.09217751731346122,0.00380636095827423,0.0003502889874837459,1.2643960444816773,100.0
2020-06-25,99.17891714904302,0.34941676661919524,0.09940718111542418,0.09984950957729691,0.004206707520164404,0.00037562160743616867,1.3739630157890617,100.0
2020-06-26,99.11335896382029,0.37628092167476235,0.10718719745152903,0.10751962242555556,0.004567797834213496,0.0004114220339074831,1.482196575565774,100.0
2020-06-27,99.07182466365083,0.39484827440830605,0.11249784662251834,0.1127192169716699,0.0048217322722966666,0.00043772387031826683,1.5530624066239591,100.0
2020-06-28,99.06584416827408,0.3978588206413176,0.11349560070950816,0.11360253912005755,0.004875391770223697,0.00043824630321045744,1.563988183967025,100.0
2020-06-29,99.12023443406464,0.376758610728882,0.10746579578784178,0.10738121159292068,0.004647256560505896,0.0004047649996424199,1.476018440605515,100.0
2020-06-30,99.1972357482877,0.34566592158505094,0.09859459314262672,0.09852509626074124,0.00429859696265664,0.0004091348568889315,1.3498484596633875,100.0
2020-07-01,99.24249271351552,0.32717256999986066,0.09324899536017094,0.09340188914502395,0.004043630498095778,0.0003899100480972554,1.2753743714876375,100.0
2020-07-02,99.25328635983107,0.3229004072750838,0.09185418140398434,0.0920142404108779,0.003973191777191192,0.0003829845170677001,1.2574556610360608,100.0
2020-07-03,99.21268300340651,0.34076562085563034,0.09696188491559715,0.09719285108663754,0.004108269480184387,0.00040808367655762595,1.3263456229315371,100.0
2020-07-04,99.18399831498134,0.3531718809594891,0.10054584078115927,0.10088267393647193,0.004248552542256123,0.0004209554235323053,1.374850633238045,100.0
2020-07-05,99.1447471704664,0.37030998558932854,0.10533402429625488,0.10575099589101215,0.004460200503424098,0.0004244055057279373,1.4411080358136201,100.0
2020-07-06,99.08714631521683,0.3974814748874467,0.11304329685424756,0.11344592850565559,0.0048096335798781375,0.00045069373431471684,1.5416340186103976,100.0
2020-07-07,98.9529846073553,0.45372832417032255,0.12938800148720467,0.1296539732898631,0.005409094898603313,0.0004918831813734248,1.7651947864906896,100.0
2020-07-08,98.77466783766968,0.5282473291734553,0.1510316035187698,0.15084897422136698,0.006205279960001357,0.0005810585665498968,2.0616653492039143,100.0
2020-07-09,98.58057568262974,0.6097005876910674,0.17446834506888848,0.1744569537752121,0.007079888727700103,0.0006537238946226691,2.3851300926331263,100.0
2020-07-10,98.40656937270211,0.6805299052957481,0.19495963477848932,0.19512176378776214,0.007851760758804699,0.000713041674502037,2.671893691918697,100.0
2020-07-11,98.30822225223608,0.7203667546710547,0.206326530074037,0.20648820441084953,0.008333860298148664,0.0007601715606972938,2.833293097218011,100.0
2020-07-12,98.26448607259475,0.739272452381789,0.21122376260898065,0.21165904422864257,0.008587668445925671,0.0007793416062248493,2.906256855070592,100.0
2020-07-13,98.17830387423624,0.7759348538707215,0.22125019524803072,0.22181422725742259,0.008986761730488877,0.0008037169647994651,3.0496821638704383,100.0
2020-07-14,98.13042854141256,0.7956655617207891,0.22628682200800543,0.22690978590287392,0.00921594563749001,0.0008226009089121455,3.1276495738565933,100.0
2020-07-15,98.11065072901009,0.8111792537141684,0.23006747619755014,0.23078695902563878,0.009417940954525809,0.0008591949755731862,3.1708009008817837,100.0
2020-07-16,98.07906670740772,0.8279167745734568,0.23504155051719042,0.23546942761848524,0.00962129330495878,0.0009009259934125674,3.2289823386063787,100.0
2020-07-17,97.92771081063428,0.8862430702833133,0.2519010519728949,0.2519815870633125,0.01023116511773151,0.0009337268418640144,3.4726460638029653,100.0
2020-07-18,97.70883069605851,0.9760809961395636,0.2784540912719308,0.2781421939085751,0.01116582770214972,0.0010242355078745663,3.835012412963711,100.0
2020-07-19,97.37297199563051,1.111122469634596,0.3180982470664268,0.3181919961503529,0.012630105174764235,0.001112080178009832,4.38707082239563,100.0
2020-07-20,97.05661922965236,1.2333331575417457,0.3538645342852278,0.354135136964053,0.013922089724616123,0.0012633055294909677,4.898635688863288,100.0
2020-07-21,96.84066532706586,1.3210950405701958,0.38011712607564413,0.380212132422339,0.014827892501683208,0.001374198380919693,5.25558686450399,100.0
2020-07-22,96.83875465097987,1.3205066951522433,0.3799896936375731,0.3801930581859389,0.014804220684092234,0.0013507261218513396,5.256739016679986,100.0
2020-07-23,97.12258388212435,1.1946020706294775,0.3425014991400506,0.3429161607138915,0.013433598246053374,0.001207789620683344,4.770869446605121,100.0
2020-07-24,97.50774844599334,1.0053159147429453,0.2870708864543265,0.28717694415304584,0.011411767716033375,0.0010343505408234347,4.083227067073001,100.0
2020-07-25,97.58297625976282,0.9448677026607372,0.26975620281201695,0.2692880300266876,0.011029004119838082,0.0009733682452614953,3.911964679856455,100.0
2020-07-26,97.48529003287692,0.9209043101103688,0.2636507901848462,0.2630668532041544,0.011272180730568569,0.0009598261301924297,3.973604101353023,100.0
