date,beta_i,beta_a,ifr
2020-03-06,1.0945813730041467,0.5371879177607235,0.010462285848253374
2020-03-07,1.0945927865556597,0.537197537456386,0.010461369578786085
2020-03-08,1.094613325748395,0.5372126415706102,0.0104602855210726
2020-03-09,1.0946421374033206,0.5372252033855476,0.010458851465418213
2020-03-10,1.094708320028882,0.5372612130465504,0.010457220385423242
2020-03-11,1.0947921302356232,0.5373100161318574,0.010454975452030058
2020-03-12,1.0949900251937497,0.5374265201020914,0.010451357035394088
2020-03-13,1.0952443448209712,0.5375562899181567,0.010447861591949832
2020-03-14,1.0959066351344307,0.5379056797194607,0.010440607042613683
2020-03-15,1.0970544089851961,0.5384966757890808,0.010433014627803735
2020-03-16,1.0985011862171148,0.539297355058112,0.010431720409261144
2020-03-17,1.1007904198234009,0.5405999592038763,0.010414812020157382
2020-03-18,1.102826411857586,0.5417317929758328,0.010403336555046752
2020-03-19,1.1044916447547204,0.5427797854463533,0.010396731507758748
2020-03-20,1.1054617386739505,0.5432905533057054,0.010405944979789323
2020-03-21,1.1055362378396412,0.5433596722621861,0.010408467960144939
2020-03-22,1.1039650134567855,0.542495807229557,0.010409779255116961
2020-03-23,1.1009788867569854,0.540971445035202,0.010403578966414131
2020-03-24,1.0968416193734865,0.5388114726720075,0.010403733537517602
2020-03-25,1.0927836340339054,0.5367455095368189,0.010407674728287809
2020-03-26,1.0893102059348616,0.5349895154141878,0.010423303825737177
2020-03-27,1.0867881087192246,0.5337332950707936,0.010468039815161999
2020-03-28,1.084633003852131,0.5325829542098912,0.010508758305799965
2020-03-29,1.0833456186011596,0.5319166064721488,0.010566504472227343
2020-03-30,1.0820397672833542,0.5311831015878092,0.01061201921133551
2020-03-31,1.0814858019149551,0.5309072169163541,0.010660767090717975
2020-04-01,1.0814472430912587,0.5309042486663771,0.010708775199312912
2020-04-02,1.0818286784145517,0.5311246687229634,0.010750668170029955
2020-04-03,1.0814655490510257,0.5309154379022167,0.01078171160043927
2020-04-04,1.0801542214566713,0.530130754321573,0.010795374833450515
2020-04-05,1.0789270138157299,0.5294155708799593,0.010805360609828974
2020-04-06,1.0779257191460005,0.5287952705897152,0.010823077855838244
2020-04-07,1.0772477110776684,0.5283669001683892,0.01084109221953362
2020-04-08,1.076122434195485,0.527662538713697,0.010854794951540212
2020-04-09,1.0753363678142016,0.5271892323787117,0.01087978875423682
