date_time,num_cases,num_diseased
2020-03-06,1.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,2.0,0.0
2020-03-12,2.0,0.0
2020-03-13,1.0,0.0
2020-03-14,10.0,0.0
2020-03-15,10.0,0.0
2020-03-16,6.0,0.0
2020-03-17,7.0,0.0
2020-03-18,5.0,0.0
2020-03-19,8.0,0.0
2020-03-20,27.0,2.0
2020-03-21,5.0,0.0
2020-03-22,4.0,1.0
2020-03-23,29.0,2.0
2020-03-24,41.0,2.0
2020-03-25,14.0,0.0
2020-03-26,7.0,1.0
2020-03-27,38.0,2.0
2020-03-28,38.0,3.0
2020-03-29,33.0,0.0
2020-03-30,55.0,3.0
2020-03-31,40.0,3.0
2020-04-01,81.0,10.0
2020-04-02,68.0,4.0
2020-04-03,44.0,4.0
2020-04-04,104.0,8.0
2020-04-05,30.0,5.0
2020-04-06,53.0,4.0
2020-04-07,84.0,4.0
2020-04-08,130.0,8.0
2020-04-09,36.0,3.0
2020-04-10,88.0,2.0
2020-04-11,44.0,4.0
2020-04-12,19.0,3.0
2020-04-13,24.0,1.0
2020-04-14,36.0,3.0
2020-04-15,48.0,7.0
2020-04-16,43.0,1.0
2020-04-17,59.0,0.0
2020-04-18,86.0,2.0
2020-04-19,119.0,3.0
2020-04-20,79.0,2.0
2020-04-21,74.0,1.0
2020-04-22,84.0,0.0
2020-04-23,47.0,5.0
2020-04-24,179.0,5.0
2020-04-25,90.0,3.0
2020-04-26,93.0,3.0
2020-04-27,105.0,2.0
2020-04-28,64.0,3.0
2020-04-29,133.0,6.0
2020-04-30,89.0,5.0
2020-05-01,144.0,8.0
2020-05-02,71.0,2.0
2020-05-03,111.0,3.0
2020-05-04,127.0,3.0
2020-05-05,193.0,14.0
2020-05-06,200.0,5.0
2020-05-07,129.0,3.0
2020-05-08,225.0,10.0
2020-05-09,209.0,9.0
2020-05-10,127.0,1.0
2020-05-11,150.0,3.0
2020-05-12,258.0,7.0
2020-05-13,121.0,3.0
2020-05-14,207.0,4.0
2020-05-15,115.0,3.0
2020-05-16,278.0,7.0
2020-05-17,241.0,2.0
2020-05-18,197.0,2.0
2020-05-19,216.0,10.0
2020-05-20,253.0,5.0
2020-05-21,122.0,3.0
2020-05-22,280.0,7.0
2020-05-23,382.0,11.0
2020-05-24,237.0,8.0
2020-05-25,176.0,5.0
2020-05-26,355.0,5.0
2020-05-27,305.0,11.0
2020-05-28,490.0,10.0
2020-05-29,628.0,12.0
2020-05-30,478.0,21.0
2020-05-31,346.0,3.0
2020-06-01,383.0,10.0
2020-06-02,374.0,9.0
2020-06-03,505.0,13.0
2020-06-04,535.0,14.0
2020-06-05,403.0,10.0
2020-06-06,378.0,5.0
2020-06-07,319.0,10.0
2020-06-08,439.0,9.0
2020-06-09,391.0,13.0
2020-06-10,424.0,9.0
2020-06-11,408.0,9.0
2020-06-12,416.0,15.0
2020-06-13,564.0,20.0
2020-06-14,627.0,22.0
2020-06-15,414.0,12.0
2020-06-16,807.0,28.0
2020-06-17,81.0,3.0
2020-06-18,806.0,35.0
2020-06-19,1082.0,26.0
2020-06-20,697.0,19.0
2020-06-21,875.0,30.0
2020-06-22,1182.0,34.0
2020-06-23,1332.0,37.0
2020-06-24,114.0,1.0
2020-06-25,1277.0,45.0
2020-06-26,1011.0,32.0
2020-06-27,2155.0,85.0
2020-06-28,1469.0,59.0
2020-06-29,24.0,3.0
2020-06-30,706.0,18.0
2020-07-01,1415.0,54.0
2020-07-02,1334.0,51.0
2020-07-03,1448.0,38.0
2020-07-04,1181.0,45.0
2020-07-05,1287.0,34.0
2020-07-06,1096.0,44.0
2020-07-07,1626.0,58.0
2020-07-08,1506.0,76.0
2020-07-09,1646.0,67.0
2020-07-10,2685.0,76.0
2020-07-11,2516.0,81.0
2020-07-12,2198.0,73.0
2020-07-13,1724.0,57.0
2020-07-14,1907.0,65.0
2020-07-15,2461.0,114.0
2020-07-16,3129.0,130.0
2020-07-17,156.0,8.0
2020-07-18,1876.0,89.0
2020-07-19,3801.0,139.0
2020-07-20,4092.0,189.0
2020-07-21,3571.0,150.0
2020-07-22,3967.0,122.0
2020-07-23,2328.0,101.0
2020-07-24,3270.0,102.0
2020-07-25,2483.0,128.0
2020-07-26,106.0,1.0
2020-07-27,3205.0,88.0
2020-07-28,8580.0,330.0
2020-07-29,3236.0,78.0
2020-07-30,3179.0,113.0
2020-07-31,550.0,7.0
2020-08-01,3934.0,120.0
2020-08-02,6897.0,228.0
2020-08-03,3040.0,122.0
2020-08-04,4936.0,154.0
2020-08-05,3629.0,90.0
2020-08-06,2788.0,75.0
2020-08-07,3383.0,68.0
2020-08-08,3428.0,108.0
2020-08-09,2177.0,72.0
2020-08-10,664.0,16.0
2020-08-11,8464.0,174.0
2020-08-12,1182.0,23.0
2020-08-13,7083.0,127.0
2020-08-14,109.0,2.0
2020-08-15,5046.0,93.0
2020-08-16,8398.0,130.0
2020-08-17,3581.0,57.0
2020-08-18,764.0,20.0
2020-08-19,7903.0,198.0
2020-08-20,3655.0,87.0
2020-08-21,3683.0,84.0
2020-08-22,2910.0,49.0
2020-08-23,3486.0,56.0
2020-08-24,3126.0,76.0
2020-08-25,3263.0,65.0
2020-08-26,2494.0,65.0
2020-08-27,2154.0,41.0
2020-08-28,2871.0,51.0
2020-08-29,1970.0,49.0
2020-08-30,1912.0,36.0
2020-08-31,3414.0,56.0
2020-09-01,2889.0,54.0
2020-09-02,2027.0,51.0
2020-09-03,2555.0,63.0
2020-09-04,2108.0,43.0
2020-09-05,2063.0,43.0
2020-09-06,1218.0,21.0
2020-09-07,2631.0,37.0
2020-09-08,1873.0,35.0
2020-09-09,1751.0,34.0
2020-09-10,2736.0,48.0
2020-09-11,2178.0,44.0
2020-09-12,1561.0,53.0
2020-09-13,869.0,22.0
2020-09-14,1905.0,30.0
2020-09-15,2090.0,24.0
2020-09-16,2093.0,48.0
2020-09-17,2067.0,27.0
2020-09-18,1997.0,36.0
2020-09-19,1653.0,28.0
2020-09-20,1432.0,30.0
2020-09-21,1709.0,20.0
2020-09-22,1663.0,29.0
2020-09-23,2196.0,26.0
2020-09-24,1802.0,30.0
2020-09-25,1756.0,29.0
2020-09-26,1476.0,21.0
2020-09-27,952.0,19.0
2020-09-28,1501.0,23.0
2020-09-29,2019.0,30.0
2020-09-30,1382.0,22.0
2020-10-01,1705.0,25.0
2020-10-02,2281.0,35.0
2020-10-03,2041.0,34.0
2020-10-04,1645.0,32.0
2020-10-05,1624.0,23.0
2020-10-06,1766.0,29.0
2020-10-07,1902.0,33.0
2020-10-08,2054.0,42.0
2020-10-09,1696.0,24.0
2020-10-10,1606.0,36.0
2020-10-11,1075.0,21.0
2020-10-12,1038.0,22.0
2020-10-13,968.0,21.0
2020-10-14,1361.0,23.0
2020-10-15,2334.0,40.0
2020-10-16,1768.0,35.0
2020-10-17,1652.0,31.0
2020-10-18,1150.0,29.0
2020-10-19,1741.0,26.0
2020-10-20,2048.0,31.0
2020-10-21,1841.0,21.0
2020-10-22,1960.0,26.0
2020-10-23,2053.0,36.0
2020-10-24,1440.0,23.0
2020-10-25,1236.0,21.0
2020-10-26,1887.0,29.0
2020-10-27,2258.0,30.0
2020-10-28,2057.0,31.0
2020-10-29,2118.0,23.0
2020-10-30,1826.0,28.0
2020-10-31,1945.0,28.0
2020-11-01,1305.0,30.0
2020-11-02,1848.0,30.0
2020-11-03,1933.0,40.0
2020-11-04,2029.0,43.0
2020-11-05,1624.0,27.0
2020-11-06,1764.0,36.0
2020-11-07,1696.0,35.0
2020-11-08,1584.0,27.0
2020-11-09,1701.0,25.0
2020-11-10,1960.0,39.0
2020-11-11,1717.0,24.0
2020-11-12,2055.0,34.0
2020-11-13,1486.0,29.0
2020-11-14,1444.0,23.0
2020-11-15,926.0,19.0
2020-11-16,1855.0,39.0
2020-11-17,2238.0,33.0
2020-11-18,1397.0,25.0
2020-11-19,2189.0,47.0
2020-11-20,1711.0,30.0
2020-11-21,2030.0,26.0
2020-11-22,1471.0,29.0
2020-11-23,1899.0,25.0
2020-11-24,2416.0,39.0
2020-11-25,2744.0,31.0
2020-11-26,2486.0,31.0
2020-11-27,2768.0,33.0
2020-11-28,2014.0,26.0
2020-11-29,1617.0,29.0
2020-11-30,1984.0,40.0
2020-12-01,2463.0,28.0
2020-12-02,2410.0,33.0
2020-12-03,1804.0,29.0
2020-12-04,3137.0,45.0
2020-12-05,2508.0,41.0
2020-12-06,1631.0,29.0
2020-12-07,2490.0,46.0
2020-12-08,2123.0,24.0
2020-12-09,2844.0,34.0
2020-12-10,3047.0,48.0
2020-12-11,3070.0,44.0
2020-12-12,3116.0,59.0
2020-12-13,2198.0,39.0
2020-12-14,3183.0,47.0
2020-12-15,3697.0,54.0
2020-12-16,4445.0,60.0
2020-12-17,3224.0,60.0
2020-12-18,3967.0,76.0
2020-12-19,3405.0,48.0
2020-12-20,2629.0,49.0
2020-12-21,3810.0,82.0
2020-12-22,4520.0,81.0
2020-12-23,4348.0,77.0
2020-12-24,4471.0,83.0
2020-12-25,2065.0,51.0
2020-12-26,3493.0,74.0
2020-12-27,3710.0,104.0
2020-12-28,4820.0,96.0
2020-12-29,5664.0,115.0
2020-12-30,6302.0,104.0
2020-12-31,3742.0,86.0
2021-01-01,1591.0,48.0
2021-01-02,3748.0,80.0
2021-01-03,5650.0,121.0
2021-01-04,4241.0,106.0
2021-01-05,6861.0,131.0
2021-01-06,6296.0,134.0
2021-01-07,5821.0,115.0
2021-01-08,5336.0,106.0
2021-01-09,4720.0,108.0
2021-01-10,3412.0,69.0
2021-01-11,2677.0,81.0
2021-01-12,7492.0,136.0
2021-01-13,7002.0,152.0
2021-01-14,5555.0,88.0
2021-01-15,5501.0,121.0
2021-01-16,5518.0,100.0
2021-01-17,4790.0,82.0
2021-01-18,4884.0,99.0
2021-01-19,5900.0,97.0
2021-01-20,4616.0,80.0
2021-01-21,4951.0,84.0
2021-01-22,4376.0,92.0
2021-01-23,4180.0,74.0
2021-01-24,2721.0,39.0
2021-01-25,5119.0,111.0
2021-01-26,4004.0,80.0
2021-01-27,3899.0,45.0
2021-01-28,3257.0,49.0
2021-01-29,2632.0,49.0
2021-01-30,1935.0,36.0
2021-01-31,2519.0,39.0
2021-02-01,2304.0,27.0
2021-02-02,2016.0,33.0
2021-02-03,2300.0,52.0
2021-02-04,2334.0,44.0
2021-02-05,1271.0,17.0
2021-02-06,1089.0,24.0
2021-02-07,1050.0,27.0
2021-02-08,1469.0,28.0
2021-02-09,1773.0,30.0
2021-02-10,1387.0,30.0
2021-02-11,1447.0,27.0
2021-02-12,1186.0,16.0
2021-02-13,1185.0,24.0
2021-02-14,945.0,20.0
2021-02-15,886.0,12.0
2021-02-16,1369.0,16.0
2021-02-17,1088.0,21.0
2021-02-18,1111.0,18.0
2021-02-19,1057.0,21.0
2021-02-20,886.0,15.0
2021-02-21,571.0,14.0
2021-02-22,870.0,26.0
2021-02-23,947.0,16.0
2021-02-24,1084.0,15.0
2021-02-25,885.0,17.0
2021-02-26,872.0,12.0
2021-02-27,767.0,14.0
